"日付","種目","距離","プール","タイム","種別","大会名","レース","順位","メモ","入力者"
"2024-02-25","自由形","50","短水路","28.09","大会","兵庫県JO(春)","予選","3位","","データ移行"
"2024-01-14","自由形","50","短水路","28.17","大会","新年フェスティバル","タイム決勝","10位","","データ移行"
"2024-01-27","自由形","50","短水路","28.3","大会","兵庫県短水路選手権","予選","149位","","データ移行"
"2023-12-03","自由形","50","短水路","28.53","タイムトライアル","兵庫地域冬季トライアル大会","タイム決勝","56位","","データ移行"
"2024-02-04","自由形","50","短水路","28.56","大会","わかやまオープン","予選","26位","","データ移行"
"2023-10-29","自由形","50","短水路","28.86","大会","兵庫県ジュニアスイマーズミート","タイム決勝","70位","","データ移行"
"2023-12-17","自由形","50","短水路","29.09","大会","兵庫地域A･AA級大会","タイム決勝","83位","","データ移行"
"2023-07-30","自由形","50","短水路","29.64","タイムトライアル","兵庫県JOチャレンジ(夏)","A-決勝","1位","","データ移行"
"2023-07-30","自由形","50","短水路","30.54","タイムトライアル","兵庫県JOチャレンジ(夏)","予選","2位","","データ移行"
"2023-05-14","自由形","50","短水路","30.84","タイムトライアル","兵庫地域春季トライアル大会","タイム決勝","2位","","データ移行"
"2025-02-23","自由形","100","短水路","55.75","大会","兵庫県JO(春)","A-決勝","1位","","データ移行"
"2025-02-23","自由形","100","短水路","56.36","大会","兵庫県JO(春)","予選","1位","","データ移行"
"2024-10-27","自由形","100","短水路","59.8","大会","尼崎市民選手権","タイム決勝","1位","","データ移行"
"2023-12-17","自由形","100","短水路","01:03.01","大会","兵庫地域A･AA級大会","タイム決勝","98位","","データ移行"
"2024-02-11","自由形","100","短水路","01:03.92","大会","兵庫県冬季公式記録会","タイム決勝","103位","","データ移行"
"2025-04-13","自由形","200","短水路","02:03.48","大会","北大阪地区A･AA級大会","タイム決勝","1位","","データ移行"
"2024-11-24","自由形","200","短水路","02:08.16","大会","兵庫地域A･AA級大会","タイム決勝","1位","","データ移行"
"2024-10-27","自由形","200","短水路","02:19.15","大会","尼崎市民選手権","タイム決勝","2位","","データ移行"
"2024-11-03","背泳ぎ","50","短水路","32.44","大会","兵庫県ジュニアスイマーズミート","タイム決勝","6位","","データ移行"
"2024-06-02","平泳ぎ","50","短水路","36.89","タイムトライアル","兵庫地域夏季トライアル大会","タイム決勝","1位","","データ移行"
"2025-04-13","個人メドレー","200","短水路","02:20.80","大会","北大阪地区A･AA級大会","タイム決勝","1位","","データ移行"
"2024-11-24","個人メドレー","200","短水路","02:22.65","大会","兵庫地域A･AA級大会","タイム決勝","1位","","データ移行"
"2024-07-28","個人メドレー","200","短水路","02:25.70","タイムトライアル","兵庫県JOチャレンジ(夏)","予選","1位","","データ移行"
"2024-06-30","個人メドレー","200","短水路","02:31.55","大会","東大阪地域夏季AB級公認","タイム決勝","7位","","データ移行"
"2024-06-02","個人メドレー","200","短水路","02:31.66","タイムトライアル","兵庫地域夏季トライアル大会","タイム決勝","2位","","データ移行"
"2023-05-14","個人メドレー","200","短水路","02:43.95","タイムトライアル","兵庫地域春季トライアル大会","タイム決勝","2位","","データ移行"
"2025-06-07","バタフライ","50","長水路","27.01","大会","兵庫県選手権","予選","22位","","データ移行"
"2025-02-08","バタフライ","50","長水路","27.2","大会","きららカップ","A-決勝","3位","","データ移行"
"2025-02-08","バタフライ","50","長水路","27.37","大会","きららカップ","予選","2位","","データ移行"
"2025-05-17","バタフライ","50","長水路","27.37","大会","近畿SC選手権地区対抗","予選","1位","","データ移行"
"2025-05-17","バタフライ","50","長水路","27.45","大会","近畿SC選手権地区対抗","A-決勝","1位","","データ移行"
"2024-11-17","バタフライ","50","長水路","27.55","大会","秋葉山選手権","A-決勝","1位","","データ移行"
"2024-12-19","バタフライ","50","長水路","27.6","大会","Queensland Championships","予選","1位","","データ移行"
"2024-11-17","バタフライ","50","長水路","27.66","大会","秋葉山選手権","予選","1位","","データ移行"
"2024-07-07","バタフライ","50","長水路","27.68","大会","JO(夏)","A-決勝","2位","","データ移行"
"2024-12-19","バタフライ","50","長水路","27.7","大会","Queensland Championships","A-決勝","1位","","データ移行"
"2024-08-23","バタフライ","50","長水路","27.77","大会","JO(夏)","B-決勝","3位","","データ移行"
"2024-10-12","バタフライ","50","長水路","27.88","大会","ブロック対抗","予選","4位","","データ移行"
"2024-08-23","バタフライ","50","長水路","27.94","大会","JO(夏)","予選","12位","","データ移行"
"2024-07-07","バタフライ","50","長水路","27.96","大会","JO(夏)","予選","2位","","データ移行"
"2024-10-12","バタフライ","50","長水路","28.06","大会","ブロック対抗","A-決勝","4位","","データ移行"
"2024-06-08","バタフライ","50","長水路","28.68","大会","兵庫県選手権","予選","38位","","データ移行"
"2024-08-18","バタフライ","50","長水路","28.73","大会","尼崎市民スポーツ祭","タイム決勝","1位","","データ移行"
"2024-04-27","バタフライ","50","長水路","28.85","大会","大阪府春季室内","A-決勝","2位","","データ移行"
"2024-05-26","バタフライ","50","長水路","28.9","大会","関西選手権ジュニア","予選","2位","","データ移行"
"2024-05-26","バタフライ","50","長水路","28.91","大会","関西選手権ジュニア","A-決勝","2位","","データ移行"
"2024-05-18","バタフライ","50","長水路","28.97","大会","近畿SC選手権地区対抗","A-決勝","6位","","データ移行"
"2024-04-27","バタフライ","50","長水路","29.16","大会","大阪府春季室内","予選","1位","","データ移行"
"2024-05-18","バタフライ","50","長水路","29.35","大会","近畿SC選手権地区対抗","予選","7位","","データ移行"
"2023-11-19","バタフライ","50","長水路","29.68","大会","秋葉山選手権","A-決勝","7位","","データ移行"
"2023-11-19","バタフライ","50","長水路","29.97","大会","秋葉山選手権","予選","8位","","データ移行"
"2023-08-23","バタフライ","50","長水路","30.61","大会","JO(夏)","A-決勝","5位","","データ移行"
"2023-05-28","バタフライ","50","長水路","30.99","大会","関西選手権ジュニア","A-決勝","2位","","データ移行"
"2023-08-23","バタフライ","50","長水路","31.01","大会","JO(夏)","予選","4位","","データ移行"
"2023-05-20","バタフライ","50","長水路","31.7","大会","近畿SC選手権","A-決勝","1位","","データ移行"
"2023-07-09","バタフライ","50","長水路","31.74","大会","兵庫県JO(夏)","A-決勝","1位","","データ移行"
"2023-07-09","バタフライ","50","長水路","31.96","大会","兵庫県JO(夏)","予選","1位","","データ移行"
"2023-05-28","バタフライ","50","長水路","32.18","大会","関西選手権ジュニア","予選","3位","","データ移行"
"2023-05-20","バタフライ","50","長水路","32.48","大会","近畿SC選手権","予選","2位","","データ移行"
"2025-06-08","バタフライ","100","長水路","59.69","大会","兵庫県選手権","予選","36位","","データ移行"
"2025-02-09","バタフライ","100","長水路","01:00.81","大会","きららカップ","A-決勝","2位","","データ移行"
"2024-11-16","バタフライ","100","長水路","01:01.13","大会","秋葉山選手権","A-決勝","1位","","データ移行"
"2025-05-31","バタフライ","100","長水路","01:01.17","大会","大阪府春季室内","予選","1位","","データ移行"
"2024-10-13","バタフライ","100","長水路","01:01.30","大会","ブロック対抗","タイム決勝","3位","","データ移行"
"2025-02-09","バタフライ","100","長水路","01:01.43","大会","きららカップ","予選","2位","","データ移行"
"2025-05-18","バタフライ","100","長水路","01:01.47","大会","近畿SC選手権地区対抗","予選","1位","","データ移行"
"2025-05-18","バタフライ","100","長水路","01:01.51","大会","近畿SC選手権地区対抗","A-決勝","1位","","データ移行"
"2024-11-16","バタフライ","100","長水路","01:01.67","大会","秋葉山選手権","予選","1位","","データ移行"
"2025-05-31","バタフライ","100","長水路","01:01.78","大会","大阪府春季室内","A-決勝","1位","","データ移行"
"2024-08-22","バタフライ","100","長水路","01:01.97","大会","JO(夏)","B-決勝","3位","","データ移行"
"2024-08-22","バタフライ","100","長水路","01:02.19","大会","JO(夏)","予選","10位","","データ移行"
"2024-07-06","バタフライ","100","長水路","01:02.62","大会","JO(夏)","A-決勝","2位","","データ移行"
"2024-12-16","バタフライ","100","長水路","01:02.93","大会","Queensland Championships","予選","2位","","データ移行"
"2024-06-09","バタフライ","100","長水路","01:03.63","大会","兵庫県選手権","予選","58位","","データ移行"
"2024-04-29","バタフライ","100","長水路","01:04.03","大会","大阪府春季室内","予選","2位","","データ移行"
"2024-07-06","バタフライ","100","長水路","01:04.17","大会","JO(夏)","予選","2位","","データ移行"
"2024-05-25","バタフライ","100","長水路","01:04.33","大会","関西選手権ジュニア","A-決勝","6位","","データ移行"
"2024-05-25","バタフライ","100","長水路","01:04.79","大会","関西選手権ジュニア","予選","5位","","データ移行"
"2024-04-29","バタフライ","100","長水路","01:04.95","大会","大阪府春季室内","A-決勝","5位","","データ移行"
"2024-05-19","バタフライ","100","長水路","01:05.69","大会","近畿SC選手権地区対抗","A-決勝","4位","","データ移行"
"2024-05-19","バタフライ","100","長水路","01:06.84","大会","近畿SC選手権地区対抗","予選","7位","","データ移行"
"2023-05-27","バタフライ","100","長水路","01:13.51","大会","関西選手権ジュニア","A-決勝","5位","","データ移行"
"2023-05-27","バタフライ","100","長水路","01:13.67","大会","関西選手権ジュニア","予選","3位","","データ移行"
"2025-06-01","バタフライ","200","長水路","02:17.81","大会","大阪府春季室内","予選","1位","","データ移行"
"2025-06-01","バタフライ","200","長水路","02:17.92","大会","大阪府春季室内","A-決勝","1位","","データ移行"
"2025-06-07","バタフライ","200","長水路","02:18.56","大会","兵庫県選手権","予選","22位","","データ移行"
"2024-12-18","バタフライ","200","長水路","02:22.03","大会","Queensland Championships","予選","2位","","データ移行"
"2024-12-18","バタフライ","200","長水路","02:22.66","大会","Queensland Championships","A-決勝","2位","","データ移行"
"2025-06-01","自由形","50","長水路","25.99","大会","大阪府春季室内","A-決勝","2位","","データ移行"
"2025-02-09","自由形","50","長水路","26.04","大会","きららカップ","A-決勝","3位","","データ移行"
"2025-06-01","自由形","50","長水路","26.16","大会","大阪府春季室内","予選","2位","","データ移行"
"2024-11-17","自由形","50","長水路","26.41","大会","秋葉山選手権","A-決勝","1位","","データ移行"
"2024-12-17","自由形","50","長水路","26.41","大会","Queensland Championships","予選","1位","","データ移行"
"2024-12-17","自由形","50","長水路","26.53","大会","Queensland Championships","A-決勝","1位","","データ移行"
"2025-02-09","自由形","50","長水路","26.58","大会","きららカップ","予選","3位","","データ移行"
"2024-11-17","自由形","50","長水路","26.95","大会","秋葉山選手権","予選","1位","","データ移行"
"2024-10-12","自由形","50","長水路","26.99","大会","ブロック対抗","予選","5位","","データ移行"
"2024-07-06","自由形","50","長水路","27.14","大会","JO(夏)","予選","3位","","データ移行"
"2024-07-06","自由形","50","長水路","27.31","大会","JO(夏)","A-決勝","3位","","データ移行"
"2024-08-18","自由形","50","長水路","27.57","大会","尼崎市民スポーツ祭","タイム決勝","1位","","データ移行"
"2024-08-23","自由形","50","長水路","27.68","大会","JO(夏)","予選","63位","","データ移行"
"2024-10-12","自由形","50","長水路","28.3","大会","ブロック対抗","A-決勝","10位","","データ移行"
"2024-05-19","自由形","50","長水路","28.46","大会","近畿SC選手権地区対抗","予選","11位","","データ移行"
"2024-05-26","自由形","50","長水路","28.62","大会","関西選手権ジュニア","予選","17位","","データ移行"
"2023-05-28","自由形","50","長水路","30.43","大会","関西選手権ジュニア","A-決勝","2位","","データ移行"
"2023-05-28","自由形","50","長水路","30.52","大会","関西選手権ジュニア","予選","1位","","データ移行"
"2023-08-23","自由形","50","長水路","30.64","大会","JO(夏)","予選","37位","","データ移行"
"2023-05-21","自由形","50","長水路","30.89","大会","近畿SC選手権","予選","2位","","データ移行"
"2023-07-08","自由形","50","長水路","30.91","大会","兵庫県JO(夏)","予選","2位","","データ移行"
"2023-07-08","自由形","50","長水路","30.93","大会","兵庫県JO(夏)","A-決勝","2位","","データ移行"
"2023-05-21","自由形","50","長水路","31.79","大会","近畿SC選手権","A-決勝","10位","","データ移行"
"2024-12-15","自由形","200","長水路","02:11.01","大会","Queensland Championships","予選","2位","","データ移行"
"2024-12-18","背泳ぎ","50","長水路","31.57","大会","Queensland Championships","A-決勝","1位","","データ移行"
"2024-12-18","背泳ぎ","50","長水路","32.8","大会","Queensland Championships","予選","1位","","データ移行"
"2024-12-20","背泳ぎ","100","長水路","01:09.63","大会","Queensland Championships","A-決勝","2位","","データ移行"
"2024-12-20","背泳ぎ","100","長水路","01:09.76","大会","Queensland Championships","予選","2位","","データ移行"
"2024-12-20","平泳ぎ","50","長水路","35.6","大会","Queensland Championships","A-決勝","1位","","データ移行"
"2024-12-20","平泳ぎ","50","長水路","35.7","大会","Queensland Championships","予選","1位","","データ移行"
"2024-04-28","個人メドレー","200","長水路","02:38.44","大会","大阪府春季室内","予選","12位","","データ移行"
"2023-05-20","個人メドレー","200","長水路","02:51.56","大会","近畿SC選手権","タイム決勝","13位","","データ移行"
